Topic,Count,Percentage,Topic Label (to be filled in by reviewer),Representation,KeyBERTInspired,PartOfSpeech,MaximalMarginalRelevance,Top Documents,quick fix,slow fix,hot topic,first time,easy fix,hard fix,reason,result type,answer,phase,user/developer,related tools,Kadiray,Miao,agree
54,350,0.02628811777,Rule Definitions,"['rule', 'description', 'apex', 'code sample', 'sample', 'ruleset', 'run', 'affects version', 'affects', 'demonstrate issue']","['ruleset file', 'ruleset contain', 'version rule', 'core ruleset', 'exclude rule', 'ruleset affects', 'rule ruleset', 'custom ruleset', 'ruleset reference', 'category ruleset']","['ruleset', 'rule', 'jsontype', 'custom', 'description', 'deprecate', 'exclude', 'xml', 'json', 'core']","['jsontype', 'ruleset file', 'version description', 'exclude rule', 'jsonelement', 'custom ruleset', 'exclude pattern', 'ruleset reference', 'deprecate rule', 'gradle']","https://github.com/spotbugs/spotbugs/issues/693
https://github.com/pmd/pmd/issues/611
https://github.com/pmd/pmd/issues/5222
https://github.com/pmd/pmd/issues/2109
https://github.com/pmd/pmd/issues/2841",76,55,99,1,14,38,,,,,,"pmd/pmd (307)
spotbugs/spotbugs (12)
phpstan/phpstan (8)
security-code-scan/security-code-scan (5)
soot-oss/SootUp (5)
diffblue/cbmc (3)
soot-oss/soot (3)
facebook/infer (2)
wala/WALA (2)
arguslab/Argus-SAF (1)
secure-software-engineering/phasar (1)
scottrogowski/code2flow (1)",rule definitions,Errors in ruleset,Y
55,259,0.01945320715,Unexpected Results,"['exception', 'ignore', 'code', 'report', 'error', 'snippet', 'u0001', 'output', 'code snippet', 'reproduce']","['ignore error', 'error ignore', 'report ignore', 'ignore report', 'output ignore', 'line ignore', 'ignore ignore', 'expect output', 'ignore line', 'problem expect']","['ignore', 'error', 'identifier', 'snippet', 'report', 'greetera', 'line', 'output', 'mute', 'miss']","['ignore error', 'ignore line', 'snippet reproduce', 'report ignore', 'ignore ignore', 'error ignore', 'expect output', 'problem expect', 'inline ignore', 'trim expect']","https://github.com/phpstan/phpstan/issues/12000
https://github.com/phpstan/phpstan/issues/11367
https://github.com/phpstan/phpstan/issues/11174
https://github.com/phpstan/phpstan/issues/10802
https://github.com/soot-oss/soot/issues/329",91,33,67,1,3,4,,,,,,"phpstan/phpstan (187)
spotbugs/spotbugs (28)
diffblue/cbmc (9)
facebook/infer (9)
soot-oss/soot (8)
pmd/pmd (5)
wala/WALA (5)
soot-oss/SootUp (3)
security-code-scan/security-code-scan (2)
cs-au-dk/TAJS (1)
scottrogowski/code2flow (1)
opalj/opal (1)",Unexpected behaviour,Unexpected Behavior in Annotation Handling,Y
56,267,0.02005407841,Taint Analysis,"['line character', 'character call', 'character', 'call file', 'call', 'file', 'inline line', 'inline', 'line', 'file line']","['taint analysis', 'taint propagation', 'taint path', 'flow sensitive', 'taint taint', 'taint propagate', 'data flow', 'flowinsensitive', 'source_sink', 'source sink']","['taint', 'sink', 'leak', 'source', 'flow', 'quandary', 'analysis', 'alia', 'info', 'outgoing']","['taint', 'leak', 'flow', 'source sink', 'find leak', 'taint analysis', 'droidbench', 'taint propagation', 'tainted', 'virtualinvoke']","https://github.com/secure-software-engineering/FlowDroid/issues/799
https://github.com/secure-software-engineering/FlowDroid/issues/250
https://github.com/secure-software-engineering/FlowDroid/issues/779
https://bitbucket.org/yanniss/doop-deprecated/issues/34/p-taint-about-array
https://github.com/pmd/pmd/issues/5271",30,34,31,1,11,8,,,,,,"facebook/infer (70)
secure-software-engineering/FlowDroid (46)
spotbugs/spotbugs (45)
soot-oss/soot (22)
soot-oss/SootUp (18)
secure-software-engineering/phasar (16)
pmd/pmd (15)
security-code-scan/security-code-scan (8)
wala/WALA (8)
yanniss/doop-deprecated (6)
diffblue/cbmc (4)
phpstan/phpstan (3)
opalj/opal (2)
arguslab/Argus-SAF (2)
cs-au-dk/TAJS (1)
scottrogowski/code2flow (1)",understanding taint analysis results,Errors in Taint analysis results,N
57,53,0.00398077212,Array Handling,"['array_filter', 'filter', 'array', 'heart', 'heart heart', 'value', 'filter array', 'bool', 'dump array', 'callback']","['report array_filter', 'error array_filter', 'array_filter unknown', 'array_filter filter', 'filter array_filter', 'array filter_var_array', 'array array_filter', 'array_filter array', 'positive array_filter', 'array_filter']","['array_filter', 'filter', 'array', 'heart', 'bool', 'output', 'snippet', 'dump', 'value', 'report']","['array_filter', 'array', 'dump array', 'report array_filter', 'filter array', 'expect output', 'response array_filter', 'array_filter array', 'array_filter callback', 'error array_filter']","https://github.com/phpstan/phpstan/issues/8528
https://github.com/phpstan/phpstan/issues/3132
https://github.com/phpstan/phpstan/issues/6938
https://github.com/phpstan/phpstan/issues/6006
https://github.com/phpstan/phpstan/issues/9178",19,11,12,0,2,0,,,,,,"phpstan/phpstan (52)
spotbugs/spotbugs (1)",Array Filter (Unsupported Framework behaviour),Limitation in handling array filter,Y
58,86,0.006459366081,Apex,"['maximum iteration', 'aktstatus', 'aktstatus maximum', 'exceed abort', 'iteration exceed', 'maximum', 'exceed', 'abort', 'iteration', 'apex']","['apexcrudviolation report', 'apexcrudviolation incorrectly', 'rule apexcrudviolation', 'apexcrudviolation description', 'apexcrudviolation', 'account security_enforced', 'apex apexcrudviolation', 'violation soql', 'issue apex', 'security_enforced']","['account', 'apexcrudviolation', 'apex', 'soql', 'query', 'select', 'crud', 'select account', 'list', 'rule']","['account', 'apexcrudviolation', 'crud', 'select account', 'apex apexcrudviolation', 'security_enforced', 'expect outcome', 'crud permission', 'sample demonstrate', 'account expect']","https://github.com/pmd/pmd/issues/3378
https://github.com/pmd/pmd/issues/2520
https://github.com/pmd/pmd/issues/3202
https://github.com/pmd/pmd/issues/4589
https://github.com/pmd/pmd/issues/2669",7,13,27,1,4,3,,,,,,pmd/pmd (86),Apex specific issues,Apex specific issues,Y
59,65,0.004882079015,Type Inference,"['phpdoc', 'array', 'param', 'iterable', 'var', 'tkey', 'template', 'expect', 'phpdoc var', 'specify iterable']","['array phpdoc', 'phpdoc array', 'phpdoc var', 'error phpdoc', 'phpdoc param', 'array unexpected', 'param array', 'phpdoc closure', 'phpdoc code', 'report phpdoc']","['phpdoc', 'array', 'param', 'var', 'phpdoc var', 'phpdoc param', 'bar', 'row', 'invalid value', 'snippet']","['value array', 'phpdoc var', 'phpdoc param', 'report phpdoc', 'param array', 'unexpected token', 'array phpdoc', 'expect output', 'array subtype', 'problem expect']","https://github.com/phpstan/phpstan/issues/3788
https://github.com/phpstan/phpstan/issues/3587
https://github.com/phpstan/phpstan/issues/8828
https://github.com/phpstan/phpstan/issues/2779
https://github.com/phpstan/phpstan/issues/6786",31,10,21,1,0,0,,,,,,phpstan/phpstan (65),Type inference,Type inference,Y
60,114,0.008562415502,Annotation,"['annotation', 'synchronize', 'nonnull', 'nullable', 'lock', 'singleton', 'deadlock', 'serializable', 'random', 'result']","['nullable annotation', 'annotation support', 'nonnull annotation', 'regular annotation', 'annotation annotation', 'annotation system', 'annotation', 'annotate', 'end annotation', 'annotation element']","['annotation', 'nonnull', 'nullable', 'nullable annotation', 'annotate', 'value', 'test', 'type_use', 'nameref', 'mark']","['annotation', 'nullable', 'nullable annotation', 'annotate', 'multimap', 'annotation annotation', 'end annotation', 'objects nonnull', 'non mark', 'mark nullable']","https://github.com/spotbugs/spotbugs/issues/734
https://github.com/facebook/infer/issues/537
https://github.com/spotbugs/spotbugs/issues/1778
https://github.com/spotbugs/spotbugs/issues/1656
https://github.com/spotbugs/spotbugs/issues/1991",6,16,35,1,1,1,,,,,,"spotbugs/spotbugs (69)
pmd/pmd (13)
facebook/infer (9)
phpstan/phpstan (8)
soot-oss/soot (4)
diffblue/cbmc (3)
security-code-scan/security-code-scan (2)
soot-oss/SootUp (2)
cs-au-dk/TAJS (1)
vitsalis/PyCG (1)
opalj/opal (1)
scottrogowski/code2flow (1)",Handling annotations,Errors in handling annotation,Y
61,38,0.002854138501,Unable to summarize a topic,"['copy clipboard', 'clipboard', 'error copy', 'clipboard press', 'press', 'resource find', 'copy', 'ctrlv', 'press ctrlv', 'ctrlv resource']","['clipboard resource', 'copy clipboard', 'error copy', 'clipboard press', 'ctrlv resource', 'ctrlv error', 'clipboard', 'find error', 'resource find', 'press ctrlv']","['copy', 'resource', 'error', 'frame_type', 'field', 'analysis', '', '', '', '']","['copy clipboard', 'clipboard', 'error copy', 'clipboard press', 'ctrlv error', 'jsonobject error', 'commandv jsonobject', 'commandv frame_type', 'clipboard resource', 'commandv error']","https://github.com/spotbugs/spotbugs/issues/1940
https://github.com/spotbugs/spotbugs/issues/1234
https://github.com/spotbugs/spotbugs/issues/1283
https://github.com/spotbugs/spotbugs/issues/2712
https://github.com/spotbugs/spotbugs/issues/2298",13,7,14,0,0,0,,,,,,spotbugs/spotbugs (38),invalid class path configuration?,Unable to summarize a topic,N
62,41,0.003079465225,Yield,"['generator', 'yield', 'payout', 'iterable', 'statement', 'generator yield', 'expect', 'report', 'yield yield', 'code snippet']","['generator expect', 'expect generator', 'generator report', 'generator yield', 'yield generator', 'generator statement', 'generator accept', 'accept generator', 'generator foo', 'complain generator']","['generator', 'yield', 'payout', 'iterable', 'statement', 'report', 'snippet', 'positive yield', 'loop', 'output']","['generator', 'yield', 'generator yield', 'yield yield', 'yield statement', 'generator report', 'expect output', 'problem expect', 'generator expect', 'yield generator']","https://github.com/phpstan/phpstan/issues/2873
https://github.com/phpstan/phpstan/issues/6189
https://github.com/phpstan/phpstan/issues/3407
https://github.com/phpstan/phpstan/issues/11333
https://github.com/phpstan/phpstan/issues/11181",12,5,19,0,0,0,,,,,,phpstan/phpstan (41),handling yield,Limitation in handling yield in generator function,Y
63,140,0.01051524711,"Array Handling
Loops","['foreach', 'array', 'loop', 'problem', 'code snippet', 'snippet', 'expect output', 'snippet reproduce', 'reproduce problem', 'output']","['error foreach', 'report array', 'foreach report', 'error array', 'array foreach', 'correctly foreach', 'pass foreach', 'foreach code', 'foreach loop', 'foreach line']","['foreach', 'array', 'loop', 'foo', 'value', 'report', 'key', 'pass', 'snippet', 'problem']","['foreach', 'foreach report', 'pass foreach', 'foreach loop', 'array pass', 'error foreach', 'expect output', 'array foreach', 'inside foreach', 'supply foreach']","https://github.com/phpstan/phpstan/issues/2457
https://github.com/phpstan/phpstan/issues/4644
https://github.com/phpstan/phpstan/issues/1972
https://github.com/phpstan/phpstan/issues/7913
https://github.com/phpstan/phpstan/issues/3782",55,26,50,1,1,0,,,,,,"phpstan/phpstan (138)
diffblue/cbmc (1)
pmd/pmd (1)",Working with Arrays in loops (foreach),Limitations in analyzing foreach loops,N
64,36,0.002703920685,curl API,"['parse_url', 'curl_init', 'curl', 'host', 'query fragment', 'user pass', 'path query', 'port user', 'host port', 'baseurl']","['parse_url expect', 'problem parse_url', 'parse parse_url', 'parse_url code', 'urlparsed parse_urlurl', 'report parse_url', 'parse_url', 'parse_urlurl', 'array parse', 'parse parse']","['curl_init', 'curl', 'host', 'baseurl', 'port', 'scheme', 'fragment', 'offset', 'stringfalse', 'url']","['parse_url', 'curl_init', 'curl', 'baseurl', 'curl_setopt', 'resource4 curl', 'curlhandle', 'parse parse_url', 'curl_exec', 'parse parse']","https://github.com/phpstan/phpstan/issues/1556
https://github.com/phpstan/phpstan/issues/11640
https://github.com/phpstan/phpstan/issues/1465
https://github.com/phpstan/phpstan/issues/5966
https://github.com/phpstan/phpstan/issues/1194",15,3,11,0,0,0,,,,,,"phpstan/phpstan (33)
spotbugs/spotbugs (2)
pmd/pmd (1)",curl API (Unsupported Framework behaviour),Limitation in handling curl_exec(),Y
65,47,0.003530118672,Array Handling,"['array_merge', 'array', 'array_combine', 'merge', 'key', 'array_push', 'shape', 'expect', 'array merge', 'expect output']","['array_merge expect', 'array_merge error', 'report array_merge', 'array_merge call', 'result array_merge', 'array array_merge', 'array_merge', 'array_merge array', 'array_merge lose', 'array_merge invoke']","['array_merge', 'array', 'array_combine', 'key', 'shape', 'array_merge array', 'helloworld', 'params2', 'result', 'report']","['array_merge', 'array', 'array_combine', 'array merge', 'array_merge array', 'merge array', 'array shape', 'expect output', 'array array', 'array array_merge']","https://github.com/phpstan/phpstan/issues/10479
https://github.com/phpstan/phpstan/issues/4093
https://github.com/phpstan/phpstan/issues/1128
https://github.com/phpstan/phpstan/issues/8632
https://github.com/phpstan/phpstan/issues/5846",19,10,23,0,0,0,,,,,,phpstan/phpstan (47),Array merge (Unsupported Framework behaviour),Limitation in handling array merge,Y
66,176,0.01321916779,Documentation,"['reference ref', 'ref command', 'command warning', 'resolve reference', 'warning unable', 'unable resolve', 'ref', 'unable', 'resolve', 'reference']","['documentation', 'command warning', 'annotation', 'debug information', 'debug rule', 'warning unable', 'isgenericfalse javatypedefinition', 'rule avoidthreadgroup', 'ruleset', 'exclusion']","['unable resolve', 'unable', 'resolve', 'reference', 'warning', 'command', 'gregoriancalendar', 'body', 'debug', 'isgenericfalse']","['reference ref', 'ref command', 'resolve reference', 'warning unable', 'ref', 'gregoriancalendar', 'body gregoriancalendar', 'gregoriancalendar body', 'genericargs isgenericfalse', 'javatypedefinition clazzclass']","https://github.com/pmd/pmd/issues/3812
https://github.com/security-code-scan/security-code-scan/issues/214
https://github.com/security-code-scan/security-code-scan/issues/49
https://github.com/spotbugs/spotbugs/issues/3396
https://github.com/spotbugs/spotbugs/issues/1038",28,23,33,1,11,12,,,,,,"pmd/pmd (58)
spotbugs/spotbugs (51)
soot-oss/SootUp (12)
diffblue/cbmc (12)
phpstan/phpstan (12)
soot-oss/soot (9)
facebook/infer (8)
opalj/opal (4)
wala/WALA (3)
security-code-scan/security-code-scan (3)
secure-software-engineering/phasar (2)
secure-software-engineering/FlowDroid (1)
scottrogowski/code2flow (1)",Missing Documentation,Incomplete or Broken Documentation,Y
67,204,0.01532221721,Unable to summarize a topic,"['error', 'internal', 'internal error', 'unexpected', 'analyse', 'error unexpected', 'line', 'syntax error', 'report', 'error internal']","['error analyse', 'error internal', 'report error', 'internal error', 'error occur', 'output error', 'undefined analyse', 'error help', 'expect output', 'error']","['internal error', 'internal', 'error', 'response', 'require', 'undefined', 'help', 'memcache', 'memcached', 'happy way']","['internal error', 'require', 'error undefined', 'undefined analyse', 'response expect', 'problem response', 'memcache', 'response internal', 'opening require', 'expect output']","https://github.com/phpstan/phpstan/issues/11203
https://github.com/phpstan/phpstan/issues/644
https://github.com/phpstan/phpstan/issues/11826
https://github.com/phpstan/phpstan/issues/10892
https://github.com/phpstan/phpstan/issues/8116",117,6,54,3,3,1,,,,,,"phpstan/phpstan (190)
pmd/pmd (3)
wala/WALA (2)
soot-oss/SootUp (2)
spotbugs/spotbugs (2)
arguslab/Argus-SAF (2)
diffblue/cbmc (1)
facebook/infer (1)
soot-oss/soot (1)",Internal error,Internal error (Not sure about this one),Y
68,60,0.004506534475,Build System,"['41', '17 11', '14 41', '41 44', '44', '17', 'error 14', '11', 'file line', '14']","['gradle build', 'capture gradle', 'gradlew build', 'gradle', 'gradlew clean', 'gradlew', 'error 22', 'error 17', 'error 14', 'error aidl']","['capture', 'file', 'gradlew', 'line', 'error', 'parcelable', 'gradle', 'unchecked', 'note', 'build']","['error 14', 'file line', 'file', 'error note', 'gradlew', 'error', 'error aidl', 'aidl file', 'code aidl', 'aidl 17']","https://github.com/facebook/infer/issues/855
https://github.com/facebook/infer/issues/304
https://github.com/facebook/infer/issues/281
https://github.com/facebook/infer/issues/98
https://github.com/facebook/infer/issues/22",5,7,7,0,0,1,,,,,,"facebook/infer (40)
soot-oss/SootUp (6)
soot-oss/soot (6)
spotbugs/spotbugs (3)
wala/WALA (3)
diffblue/cbmc (1)
yanniss/doop-deprecated (1)",Build system issues,Build system issues,Y
69,95,0.007135346252,Try-with-resources (Java),"['closeresource', 'resource', 'close', 'rule', 'stream', 'maven', 'sample', 'positive', 'description', 'code sample']","['rule closeresource', 'close code', 'closeresource provide', 'closeresource positive', 'close affects', 'closeresource', 'version rule', 'stream close', 'close exception', 'maven positive']","['close', 'closeresource', 'resource', 'stream', 'rule', 'positive', 'affects', 'sample', 'description', 'notautocloseable']","['closeresource', 'resource', 'closeresource positive', 'version rule', 'affects version', 'code sample', 'rule closeresource', 'closeable', 'rule description', 'resource block']","https://github.com/pmd/pmd/issues/4623
https://github.com/pmd/pmd/issues/1701
https://github.com/pmd/pmd/issues/4930
https://github.com/pmd/pmd/issues/2977
https://github.com/pmd/pmd/issues/1911",13,16,26,0,3,9,,,,,,"pmd/pmd (67)
spotbugs/spotbugs (22)
phpstan/phpstan (2)
facebook/infer (1)
soot-oss/soot (1)
wala/WALA (1)
secure-software-engineering/FlowDroid (1)",Handling Try-with-resources (Java),Unable to summarize a topic,N
70,33,0.002478593961,json API,"['json_decode', 'json_encode', 'json', 'metricid', 'jsonexception', 'response', 'json_last_error', 'report', 'validation', 'problem']","['json_decode report', 'json_encode report', 'json_last_error', 'value json_last_error', 'json_decode', 'json_throw_on_error', 'call json_decode', 'json_encode', 'work json_encode', 'jsonexception']","['json_encode', 'json', 'metricid', 'jsonexception', 'response', 'json_last_error', 'report', 'validation', 'problem', 'reproduce']","['json_decode', 'json_encode', 'json', 'jsonexception', 'json_last_error', 'test_str', 'call json_decode', 'expect output', 'json_throw_on_error', 'jsonresponse']","https://github.com/phpstan/phpstan/issues/2863
https://github.com/phpstan/phpstan/issues/6691
https://github.com/phpstan/phpstan/issues/3654
https://github.com/spotbugs/spotbugs/issues/1916
https://github.com/phpstan/phpstan/issues/10983",12,4,9,0,0,0,,,,,,"phpstan/phpstan (29)
diffblue/cbmc (2)
spotbugs/spotbugs (1)
pmd/pmd (1)",json API (Unsupported Framework behaviour),JSON handling issues,Y
71,150,0.01126633619,Compilation,"['error 961', '961', '961 error', '961 start', 'start error', 'module module', 'factory', 'start', 'factory factory', 'module']","['command javac', 'start error', 'compilation command', 'javac traceback', 'directory error', 'error failure', 'fatal error', 'usage error', 'makefile', 'error exception']","['start', 'module', 'javac', 'error', 'file', 'line', 'capture', 'command', 'recent file', 'traceback']","['error 961', '961', '961 error', '961 start', 'start error', 'file line', 'error', 'error failure', 'line run_command', 'error exception']","https://github.com/facebook/infer/issues/99
https://github.com/facebook/infer/issues/384
https://github.com/facebook/infer/issues/55
https://github.com/facebook/infer/issues/252
https://github.com/facebook/infer/issues/45",22,21,25,2,14,3,,,,,,"facebook/infer (48)
soot-oss/soot (26)
spotbugs/spotbugs (19)
pmd/pmd (15)
soot-oss/SootUp (12)
wala/WALA (10)
yanniss/doop-deprecated (5)
phpstan/phpstan (4)
diffblue/cbmc (4)
secure-software-engineering/FlowDroid (4)
cs-au-dk/TAJS (1)
secure-software-engineering/phasar (1)
scottrogowski/code2flow (1)",Compilation errors,Javac compilation error (not sure about this),Y
72,93,0.006985128436,Memory,"['pulse', 'line column', 'leak', 'column', 'memory', 'memory_leak', 'memory leak', 'cc mode', 'source', 'mode find']","['error memory_leak', 'report memory_leak', 'memory_leak_bug', 'memory_leak memory', 'memory_leak warning', 'memory_leak', 'memory_leak_bug person', 'memory_leak null_dereference', 'memory leak', 'incorrect memory']","['memory_leak', 'memory', 'leak', 'column', 'reachable line', 'allocate', 'reachable', 'person', 'buffer', 'noisy']","['memory_leak', 'memory', 'line column', 'memory leak', 'memory dynamically', 'error memory_leak', 'memory_leak memory', 'report memory_leak', 'malloc line', 'pointer']","https://github.com/facebook/infer/issues/1307
https://github.com/facebook/infer/issues/789
https://github.com/facebook/infer/issues/95
https://github.com/facebook/infer/issues/138
https://github.com/facebook/infer/issues/648",13,12,2,2,4,1,,,,,,"facebook/infer (70)
diffblue/cbmc (10)
soot-oss/soot (3)
phpstan/phpstan (3)
secure-software-engineering/phasar (3)
spotbugs/spotbugs (2)
pmd/pmd (1)
secure-software-engineering/FlowDroid (1)",Performance,Performance issues,Y
73,37,0.002779029593,ImmutableField,"['immutablefield', 'field', 'rule immutablefield', 'rule', 'foobar1', 'field annotate', 'annotate', 'setter', 'declaration constructor', 'entity']","['immutablefield report', 'maven immutablefield', 'rule immutablefield', 'description immutablefield', 'immutablefield description', 'immutablefield consider', 'immutablefield', 'immutablefield negative', 'notsoimmutablefield foo', 'immutablefield positive']","['immutablefield', 'field', 'foobar1', 'rule', 'setter', 'annotate', 'constructor', 'sample', 'violation', 'annotation']","['immutablefield', 'field', 'rule immutablefield', 'field annotate', 'annotate', 'report field', 'immutablefield description', 'immutablefield positive', 'annotation', 'field initialize']","https://github.com/pmd/pmd/issues/4527
https://github.com/pmd/pmd/issues/4254
https://github.com/pmd/pmd/issues/3823
https://github.com/pmd/pmd/issues/2075
https://github.com/spotbugs/spotbugs/issues/1696",2,6,5,0,5,3,,,,,,"pmd/pmd (31)
spotbugs/spotbugs (4)
opalj/opal (1)
soot-oss/SootUp (1)",ImmutableField,Limitation in handling ImmutableField,Y
74,53,0.00398077212,Lombok,"['lombok', 'unusedprivatefield', 'field', 'rule', 'positive', 'code sample', 'utilityclass', 'positive lombok', 'sample', 'builder']","['issue lombok', 'lombok utilityclass', 'lombok annotation', 'positive lombok', 'lombok affects', 'lombok value', 'rule description', 'violation line', 'rule link', 'rule documentation']","['lombok', 'rule', 'annotation', 'field', 'unusedprivatefield', 'positive', 'builder', 'lombok value', 'sample', 'description']","['lombok', 'annotation', 'positive lombok', 'lombok value', 'consider lombok', 'provide rule', 'rule link', 'rule documentation', 'violation line', 'lombok builder']","https://github.com/pmd/pmd/issues/4033
https://github.com/pmd/pmd/issues/2673
https://github.com/pmd/pmd/issues/4224
https://github.com/pmd/pmd/issues/5702
https://github.com/pmd/pmd/issues/4225",9,9,7,1,3,7,,,,,,"pmd/pmd (47)
spotbugs/spotbugs (4)
phpstan/phpstan (1)
soot-oss/SootUp (1)",Handling Lombok (Unsupported Framework behaviour),Annotation,N
75,66,0.004957187922,XPath,"['xpath', 'saxon', 'xpath rule', 'rule', 'node', 'jaxen', 'xpath search', 'implement xpath', 'xpath expression', 'description']","['xpath spec', 'xpath support', 'description xpath', 'custom xpath', 'xpath expression', 'update saxon', 'write xpath', 'xpath', 'xpath rule', 'xml']","['xpath', 'saxon', 'node', 'jaxen', 'rule', 'userclass', 'designer', 'document', 'attribute', 'typeis']","['xpath', 'xpath rule', 'saxon', 'jaxen', 'xpath expression', 'element', 'jaxen adapter', 'xpath support', 'xml', 'node root']","https://github.com/pmd/pmd/issues/1244
https://github.com/pmd/pmd/issues/1939
https://github.com/pmd/pmd/issues/762
https://github.com/pmd/pmd/issues/735
https://github.com/pmd/pmd/issues/2218",4,24,20,0,6,12,,,,,,"pmd/pmd (55)
security-code-scan/security-code-scan (4)
spotbugs/spotbugs (4)
phpstan/phpstan (3)",XPath support,XPath support,Y
76,112,0.008412197687,Reflections,"['reflectionclass', 'constructor', 'signature', 'soapclient', 'reflection', 'expect', 'snippet', 'report', 'var', 'problem']","['reflectionclass report', 'report reflectionclass', 'error reflectionclass', 'reflectionclass code', 'reflectionclass constructor', 'pass reflectionclass', 'reflectionclass reflectionclass', 'reflectionclass', 'create reflectionclass', 'reflectionclass stringobject']","['reflectionclass', 'reflection', 'constructor', 'reflectiontype', 'report', 'structname', 'reflectionmethod', 'output', 'error', 'reproduce']","['reflectionclass', 'reflection error', 'reflectionclass constructor', 'reflectiontype', 'reflectionmethod', 'expect output', 'problem expect', 'report reflection', 'reflectionclass code', 'expect stringt']","https://github.com/phpstan/phpstan/issues/6200
https://github.com/phpstan/phpstan/issues/2808
https://github.com/phpstan/phpstan/issues/8200
https://github.com/phpstan/phpstan/issues/11881
https://github.com/phpstan/phpstan/issues/776",53,8,28,1,1,1,,,,,,"phpstan/phpstan (102)
spotbugs/spotbugs (2)
soot-oss/SootUp (2)
diffblue/cbmc (2)
soot-oss/soot (2)
facebook/infer (1)
pmd/pmd (1)",Handling reflection,Errors in handling reflections,Y
77,66,0.004957187922,Explode(),"['explode', 'count', 'separator', 'str_replace', 'separator explode', 'non', 'explode expect', 'non give', 'expect non', 'snippet']","['error separator', 'separator explode', 'explode expect', 'issue separator', 'error explode', 'report separator', 'explode separator', 'delimiter explode', 'separator code', 'explode delimiter']","['explode', 'separator', 'non', 'delimiter', 'snippet', 'report', 'reproduce', 'positive report', 'split', 'problem']","['separator', 'separator explode', 'explode expect', 'error separator', 'explode non', 'explode array', 'report explode', 'explode result', 'result explode', 'error explode']","https://github.com/phpstan/phpstan/issues/6630
https://github.com/phpstan/phpstan/issues/10854
https://github.com/phpstan/phpstan/issues/12903
https://github.com/phpstan/phpstan/issues/6204
https://github.com/phpstan/phpstan/issues/7090",37,7,22,0,0,0,,,,,,"phpstan/phpstan (65)
spotbugs/spotbugs (1)",Handling explode() (Unsupported Framework behaviour),Unable to summarize a topic,N
78,34,0.002553702869,DOM,"['domnode', 'domelement', 'domdocument', 'domnodelist', 'c14n', 'domnode c14n', 'property', 'dom', 'nodetype', 'node']","['xpath domnode', 'error domnode', 'node domnode', 'error domnodelist', 'property domnode', 'domnode specific', 'xpath array', 'handle xpath', 'domdocument', 'array xpath']","['domnode', 'domelement', 'domnodelist', 'c14n', 'property', 'nodetype', 'node', 'firstchild', 'dominatortree', 'textcontent']","['domnode', 'domdocument', 'domnodelist', 'dom', 'xpath', 'dominatortree', 'domtext', 'problem expect', 'xpath domnode', 'expect output']","https://github.com/phpstan/phpstan/issues/12132
https://github.com/phpstan/phpstan/issues/4536
https://github.com/phpstan/phpstan/issues/6748
https://github.com/phpstan/phpstan/issues/148
https://github.com/phpstan/phpstan/issues/9200",13,4,11,0,1,0,,,,,,"phpstan/phpstan (32)
soot-oss/soot (1)
secure-software-engineering/FlowDroid (1)",Limitation in handling DOM objects,Limitation in handling DOM objects,Y
79,438,0.03289770167,Unexpected Results,"['condition', 'problem', 'snippet', 'output', 'code snippet', 'snippet reproduce', 'code', 'reproduce problem', 'expect output', 'expect']","['output expect', 'expect output', 'problem expect', 'condition error', 'condition report', 'error condition', 'report condition', 'output error', 'condition code', 'error positive']","['condition', 'bool', 'statement', 'snippet', 'iswhentrue', 'positive', 'output', 'multiple condition', 'problem', 'reproduce']","['condition', 'condition report', 'expect output', 'output error', 'multiple condition', 'problem expect', 'condition code', 'statement condition', 'condition error', 'error positive']","https://github.com/phpstan/phpstan/issues/2825
https://github.com/phpstan/phpstan/issues/3677
https://github.com/phpstan/phpstan/issues/4925
https://github.com/phpstan/phpstan/issues/8371
https://github.com/phpstan/phpstan/issues/9882",160,90,151,1,8,4,,,,,,"phpstan/phpstan (375)
spotbugs/spotbugs (26)
diffblue/cbmc (12)
facebook/infer (11)
soot-oss/soot (4)
pmd/pmd (4)
soot-oss/SootUp (4)
wala/WALA (2)",False Positive Report,False Positive Report,Y
80,77,0.00578338591,List,"['list', 'array', 'list list', 'non', 'tm', 'non list', 'element', 'array_is_list', 'expect', 'snippet']","['expect list', 'list complain', 'list array', 'output expect', 'array list', 'expect output', 'list report', 'list list', 'problem expect', 'non list']","['list', 'array', 'index', 'today', 'happy way', 'key', 'way', 'happy', 'snippet', 'help']","['list list', 'list report', 'array list', 'non list', 'list array', 'list key', 'list help', 'problem expect', 'expect output', 'expect list']","https://github.com/phpstan/phpstan/issues/7478
https://github.com/phpstan/phpstan/issues/8282
https://github.com/phpstan/phpstan/issues/1115
https://github.com/phpstan/phpstan/issues/10738
https://github.com/phpstan/phpstan/issues/13035",28,11,23,1,0,0,,,,,,"phpstan/phpstan (73)
spotbugs/spotbugs (3)
diffblue/cbmc (1)",Handling Lists,Limitation in handling List type,Y
